title,author,year,neo_latin_score,digitization_status,translation_status,research_priority,evidence
De Revolutionibus Orbium Coelestium,"Copernicus, Nicolaus",1543,0.95,digitized,translated,6.5,Known major scientific work; Copernicus is a key Neo-Latin author
Commentaria in Aristotelem de Caelo,"Pomponazzi, Pietro",1520,0.87,not_found,not_translated,9.2,Renaissance Aristotelian commentary; important philosophical work
Ars Magna et Ultima,Raimundus Lullus,1515,0.91,metadata_only,not_translated,8.7,Major Lullian work; key Renaissance philosophical text
De Principiis Philosophiae,"Cartesius, René",1644,0.82,preview_only,translated,7.1,Cartesian philosophy in Latin; Enlightenment precursor
Disputationes de Controversiis,"Bellarminus, Robertus",1586,0.89,digitized,possibly_translated,6.8,Counter-Reformation theology; major Catholic work
Tractatus Theologico-Politicus,"Spinoza, Baruch",1670,0.94,digitized,translated,8.1,Revolutionary political philosophy; Spinoza key Neo-Latin author
De Jure Belli ac Pacis,"Grotius, Hugo",1625,0.88,preview_only,translated,7.5,Foundation of international law; major legal philosophy work
Poemata Varia,"Muretus, Marc-Antoine",1554,0.85,not_found,not_translated,8.3,French humanist poetry; significant literary Neo-Latin work
Institutio Principum Christiani,"Calvin, Johannes",1536,0.92,digitized,translated,7.8,Reformation theology; major Protestant work in Latin
Novum Organum,"Bacon, Francis",1620,0.8,digitized,translated,6.2,Scientific method work; English philosopher writing in Latin
